movie;type;word;minutes_in;%
Reservoir Dogs;word;fucking;72.95;0.736868687
Reservoir Dogs;word;bitch;73.05;0.737878788
Reservoir Dogs;word;fucking;73.28;0.74020202
Reservoir Dogs;word;fucking;73.36;0.741010101
Reservoir Dogs;word;shit;74.01;0.747575758
Reservoir Dogs;word;shit;74.05;0.747979798
Reservoir Dogs;word;bitch;74.4;0.751515152
Reservoir Dogs;word;shit;74.43;0.751818182
Reservoir Dogs;word;motherfucker;74.5;0.752525253
Reservoir Dogs;word;pussy;76.13;0.768989899
Reservoir Dogs;word;shit;76.2;0.76969697
Reservoir Dogs;word;fucking;76.28;0.770505051
Reservoir Dogs;word;fucking;76.3;0.770707071
Reservoir Dogs;word;bitch;77.05;0.778282828
Reservoir Dogs;word;bitch;77.06;0.778383838
Reservoir Dogs;word;fuck;77.13;0.779090909
Reservoir Dogs;word;n-word ;77.25;0.78030303
Reservoir Dogs;word;shit;77.28;0.780606061
Reservoir Dogs;word;n-word ;77.33;0.781111111
Reservoir Dogs;word;ass;77.35;0.781313131
Reservoir Dogs;word;bitches;77.36;0.781414141
Reservoir Dogs;word;fuck;77.4;0.781818182
Reservoir Dogs;word;fucking;78.01;0.787979798
Reservoir Dogs;word;fuck;78.55;0.793434343
Reservoir Dogs;word;fucking;78.6;0.793939394
Reservoir Dogs;word;wetback;78.95;0.797474747
Reservoir Dogs;word;shit;79.1;0.798989899
Reservoir Dogs;word;fucking;79.11;0.799090909
Reservoir Dogs;word;shit;79.36;0.801616162
Reservoir Dogs;word;fucking;79.4;0.802020202
Reservoir Dogs;word;dick;79.48;0.802828283
Reservoir Dogs;word;dick;79.51;0.803131313
Reservoir Dogs;word;fucking;79.83;0.806363636
Reservoir Dogs;word;fuck;80.18;0.80989899
Reservoir Dogs;word;bullshit;80.31;0.811212121
Reservoir Dogs;word;fucking;80.46;0.812727273
Reservoir Dogs;word;hell;80.65;0.814646465
Reservoir Dogs;word;faggot;81.65;0.824747475
Reservoir Dogs;word;shit;82.05;0.828787879
Reservoir Dogs;word;pussy;82.08;0.829090909
Reservoir Dogs;word;goddamn;82.48;0.833131313
Reservoir Dogs;word;fucking;82.5;0.833333333
Reservoir Dogs;word;fucking;82.73;0.835656566
Reservoir Dogs;word;goddamn;82.9;0.837373737
Reservoir Dogs;word;goddamn;82.96;0.837979798
Reservoir Dogs;word;ass;83.86;0.847070707
Reservoir Dogs;word;fucking;84.16;0.85010101
Reservoir Dogs;word;shit;84.16;0.85010101
Reservoir Dogs;word;bitch;84.21;0.850606061
Reservoir Dogs;word;fuck;84.3;0.851515152
